"airportName","state","aid","airportCode"
"BELLINGHAM INTL","Washington",319,"none"
"BETZ ARPT","Michigan",320,"none"
"NOGALES INTL ARPT","Arizona",321,"none"
"TOKYO INTL","N/A",322,"none"
"GANDER INTL","Newfoundland and Labrador",323,"none"
"GOSHEN MUNICIPAL ARPT","Indiana",324,"none"
"ADAMS COUNTY- LEGION FIELD","Wisconsin",325,"none"
"HAMILTON MUNICIPAL ARPT","New York",326,"none"
"FALCON FIELD ARPT","Arizona",327,"none"
"KAPALUA ARPT","Hawaii",328,"none"
"BROWNSVL/SO PADRE IS","Texas",329,"none"
"GUAM INTL ARPT","Prince Edward Island",330,"none"
"CHESTER COUNTY G O CARLSON ARPT","Pennsylvania",331,"none"
"SNOHOMISH CO (PAINE FIELD)","Washington",332,"none"
"ST. LUCIE COUNTY INTL ARPT","Florida",333,"none"
"MEACHAM FT WORTH","Texas",334,"none"
"GRAND JUNCTION REGIONAL ARPT","Colorado",335,"none"
"IDAHO FALLS REGIONAL ARPT","Idaho",336,"none"
"MBS INTL","Michigan",337,"none"
"REPUBLIC AIRPORT","New York",338,"none"
"CAPITAL CITY ARPT (PA)","Pennsylvania",339,"none"
"GREENVILLE-SPARTANBURG INTL","South Carolina",340,"none"
"ASHEVILLE REGIONAL ARPT","North Carolina",341,"none"
"ST LOUIS DOWNTOWN","Illinois",342,"none"
"MOBILE DOWNTOWN ARPT","Alabama",343,"none"
"PULLMAN-MOSCOW REGIONAL","Washington",344,"none"
"GENERAL ESCOBEDO INTL","N/A",345,"none"
"MCNARY FLD ARPT","Oregon",346,"none"
"BOWMAN FIELD","Kentucky",347,"none"
"PIEDMONT TRIAD INTL","North Carolina",348,"none"
"FLOYD BENNETT MEMORIAL","New York",349,"none"
"PU DONG INTL ARPT","N/A",350,"none"
"AMSTERDAM SCHIPHOL","N/A",351,"none"
"WEST BEND MUNICIPAL ARPT","Wisconsin",352,"none"
"GREATER ROCKFORD","Illinois",353,"none"
"GRAND CANYON WEST","Arizona",354,"none"
"KEY WEST INTL ARPT","Florida",355,"none"
"EPHRAIM- FISH CREEK","Wisconsin",356,"none"
"NUT TREE AIRPORT","California",357,"none"
"SACRAMENTO EXECUTIVE ARPT","California",358,"none"
"MONTEREY PENINSULA","California",359,"none"
"JOE FOSS FIELD ARPT","South Dakota",360,"none"
"CHEYENNE REGIONAL ARPT","Wyoming",361,"none"
"TRI-STATE MILTON FERGUSON","West Virginia",362,"none"
"CYRIL E KING ARPT","Virgin Islands",363,"none"
"LONG BEACH-DAUGH FLD","California",364,"none"
"ABILENE REGIONAL ARPT","Texas",365,"none"
"TEXARKANA-WEBB FIELD","Arkansas",366,"none"
"INDIRA GANDHI INTL","N/A",367,"none"
"HAMILTON","Ontario",368,"none"
"WILL ROGERS WORLD ARPT","Oklahoma",369,"none"
"LEBANON MUNICIPAL ARPT","New Hampshire",370,"none"
"GRAND FORKS INTL","North Dakota",371,"none"
"HILTON HEAD ISLAND","South Carolina",372,"none"
"WILLOW RUN ARPT","Michigan",373,"none"
"GROSSE ILE MUNICIPAL ARPT","Michigan",374,"none"
"LAKELAND LINDER REGIONAL","Florida",375,"none"
"SHEREMETYEVO INTL","N/A",376,"none"
"CIUDAD DEL ESTE GARCIA","N/A",377,"none"
"SOUTH BEND REGIONAL","Indiana",378,"none"
"OUTAGAMIE COUNTY REGIONAL","Wisconsin",379,"none"
"MAHLON SWEET FLD","Oregon",380,"none"
"QUONSET STATE ARPT","Rhode Island",381,"none"
"CLARK INTL","N/A",382,"none"
